Année;Consommation brute gaz (GWh PCS 0°C) - GRTgaz;Statut - GRTgaz;Consommation brute gaz (GWh PCS 0°C) - Teréga;Statut - Teréga;Consommation brute gaz totale (GWh PCS 0°C);Consommation brute électricité (GWh) - RTE;Consommation corrigée électricité (GWh) - RTE;Statut - RTE;Consommation brute totale (GWh)
2014;389936;Définitif;27030;Définitif;416966;462740;478048;Définitif;879706
2020;418861;Définitif;25454;Définitif;444315;448554;460933;Définitif;892869
2003;;;;;;468386;437090;Définitif;
2010;515211;Définitif;33950;Définitif;549161;513076;471398;Définitif;1062237
2012;460773;Définitif;30785;Définitif;491558;489515;476687;Définitif;981073
2001;;;;;;449904;423979;Définitif;
2009;;;;;;486690;461453;Définitif;
2015;421395;Définitif;28186;Définitif;449581;474086;480796;Définitif;923667
2017;465331;Définitif;28298;Définitif;493629;481082;479435;Définitif;974711
2018;442457;Définitif;27838;Définitif;470295;477245;479331;Définitif;947540
2004;;;;;;479568;444949;Définitif;
2005;;;;;;483210;448144;Définitif;
2008;;;;;;494547;468854;Définitif;
2011;447538;Définitif;27381;Définitif;474919;478788;476369;Définitif;953707
2019;451253;Définitif;27623;Définitif;478876;472034;476099;Définitif;950910
2021;444385;Définitif;27501;Définitif;471886;471588;467160;Définitif;943474
2023;358327;Consolidé;22169;Consolidé;380496;438599;445722;Consolidé;819095
2002;;;;;;451117;432102;Définitif;
2006;;;;;;478383;455489;Définitif;
2007;;;;;;480392;462640;Définitif;
2013;467185;Définitif;31508;Définitif;498693;494841;480453;Définitif;993534
2016;463542;Définitif;27848;Définitif;491390;482402;479860;Définitif;973792
2022;406034;Consolidé;23609;Consolidé;429643;453389;459653;Définitif;883032
